ts_event,integrated_ofi,multi_ofi,ofi,mid_price,returns
2024-10-21 11:54:29+00:00,403,0.0,0.0,233.70499999999998,0.0
2024-10-21 11:54:30+00:00,0,0.0,0.0,233.70499999999998,0.0
2024-10-21 11:54:31+00:00,0,0.0,0.0,233.70499999999998,0.0
2024-10-21 11:54:32+00:00,0,0.0,0.0,233.70499999999998,0.0
2024-10-21 11:54:33+00:00,0,0.0,0.0,233.70499999999998,0.0
2024-10-21 11:54:34+00:00,0,0.0,0.0,233.70499999999998,0.0
2024-10-21 11:54:35+00:00,0,0.0,0.0,233.70499999999998,0.0
2024-10-21 11:54:36+00:00,-200,0.0,0.0,233.70499999999998,0.0
2024-10-21 11:54:37+00:00,-200,0.0,0.0,233.7,-2.1394493057491637e-05
2024-10-21 11:54:38+00:00,0,0.0,0.0,233.7,0.0
2024-10-21 11:54:39+00:00,0,0.0,0.0,233.70499999999998,2.1394950791675527e-05
2024-10-21 11:54:40+00:00,0,0.0,0.0,233.70499999999998,0.0
2024-10-21 11:54:41+00:00,0,0.0,0.0,233.72,6.418347917258593e-05
2024-10-21 11:54:42+00:00,0,0.0,0.0,233.72,0.0
2024-10-21 11:54:43+00:00,0,0.0,0.0,233.72,0.0
2024-10-21 11:54:44+00:00,0,0.0,0.0,233.72,0.0
2024-10-21 11:54:45+00:00,0,0.0,0.0,233.72,0.0
2024-10-21 11:54:46+00:00,0,0.0,0.0,233.72,0.0
2024-10-21 11:54:47+00:00,0,0.0,0.0,233.72,0.0
2024-10-21 11:54:48+00:00,0,0.0,0.0,233.72,0.0
2024-10-21 11:54:49+00:00,0,0.0,0.0,233.72,0.0
2024-10-21 11:54:50+00:00,0,0.0,0.0,233.72,0.0
2024-10-21 11:54:51+00:00,0,0.0,0.0,233.72,0.0
2024-10-21 11:54:52+00:00,0,0.0,0.0,233.72,0.0
2024-10-21 11:54:53+00:00,0,0.0,0.0,233.70499999999998,-6.417935991787083e-05
2024-10-21 11:54:54+00:00,0,0.0,0.0,233.70499999999998,0.0
